Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By
84371098,User should be able to deposit funds,"",1,"Dec 8, 2014","Dec 14, 2014",feature,,unstarted,"Sep 5, 2014",,,Robbie Clutton,"As a user, I want to be able to deposit funds, so that I can have my funds in a safe place.

Given an existing account
When I add funds to that account
Then I can see the additional amount reflected in the balance",https://www.pivotaltracker.com/story/show/84371098,
84371106,User should be able to withdraw funds,"",1,"Dec 8, 2014","Dec 14, 2014",feature,,unstarted,"Sep 5, 2014",,,Robbie Clutton,"As a user, I want to be able to withdraw funds, so that I have the money available to me.

Given an existing account with positive balance
When I withdraw funds
Then the new balance should reflect the withdraw
",https://www.pivotaltracker.com/story/show/84371106,
84371108,User should be able to transfer funds,"",1,"Dec 8, 2014","Dec 14, 2014",feature,,unstarted,"Sep 5, 2014",,,Robbie Clutton,"As an app user I can transfer money to another account so that I can pay monies owed.

Given two existing accounts
When money is transferred from one account to the other
Then the crediting account has it's balance increased and the debiting account has the corresponding balance decreased

",https://www.pivotaltracker.com/story/show/84371108,
84371116,Account should not support negative balances,"",1,"Dec 8, 2014","Dec 14, 2014",feature,,unstarted,"Sep 5, 2014",,,Robbie Clutton,"As an app user I should not be able to put my account into negative balance so that I do not owe the bank money.

Given an existing account
When I attempt to withdrawn funds that would result in a negative balance
Then I am unable to complete the withdraw

Given two existing accounts
When money is transferred that would result in a negative balance
Then the transaction is not allow to be completed",https://www.pivotaltracker.com/story/show/84371116,
84371114,User should see transaction history,"",1,"Dec 8, 2014","Dec 14, 2014",feature,,unstarted,"Sep 5, 2014",,,Robbie Clutton,"As an app user, I can view my transaction history, so that I can see my spending

Given an account
When a transaction occurs
Then is should be displayed in the account history",https://www.pivotaltracker.com/story/show/84371114,
84371110,DB Schema migrations should be possible,"",,,,chore,,unscheduled,"Sep 5, 2014",,,Robbie Clutton,,https://www.pivotaltracker.com/story/show/84371110,
84371112,As an app user I should be able to top up my account balance and send the money to another user in the same transaction,"",,,,feature,,unscheduled,"Sep 5, 2014",,,Robbie Clutton,,https://www.pivotaltracker.com/story/show/84371112,
84371118,As an app user I can send money in currencies other than my own,"",,,,feature,,unscheduled,"Sep 5, 2014",,,Robbie Clutton,,https://www.pivotaltracker.com/story/show/84371118,
84371120,As an app user I want my account to be accessible only by me,"",,,,feature,2,unscheduled,"Sep 5, 2014",,,Robbie Clutton,,https://www.pivotaltracker.com/story/show/84371120,
84371100,as a user I can see a list of my accounts,"",,,,feature,2,unscheduled,"Sep 8, 2014",,,Robbie Clutton,,https://www.pivotaltracker.com/story/show/84371100,
